ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1701101,Aparecida do Rio Negro,TO,-9.9531,-47.9755,Cidade,Sede Municipal
1701309,Aragominas,TO,-7.1666,-48.5257,Cidade,Sede Municipal
1701903,Araguacema,TO,-8.8063,-49.557,Cidade,Sede Municipal
1702000,Araguaçu,TO,-12.9318,-49.8277,Cidade,Sede Municipal
1702109,Araguaína,TO,-7.1898,-48.2099,Cidade,Sede Municipal
1702158,Araguanã,TO,-6.5725,-48.6406,Cidade,Sede Municipal
1702208,Araguatins,TO,-5.6493,-48.1231,Cidade,Sede Municipal
1702307,Arapoema,TO,-7.6578,-49.0644,Cidade,Sede Municipal
1702406,Arraias,TO,-12.9297,-46.9436,Cidade,Sede Municipal
1702554,Augustinópolis,TO,-5.4686,-47.8837,Cidade,Sede Municipal
1702703,Aurora do Tocantins,TO,-12.7145,-46.4089,Cidade,Sede Municipal
1702901,Axixá do Tocantins,TO,-5.6173,-47.7714,Cidade,Sede Municipal
1703008,Babaçulândia,TO,-7.2028,-47.7595,Cidade,Sede Municipal
1703057,Bandeirantes do Tocantins,TO,-7.7623,-48.5767,Cidade,Sede Municipal
1703073,Barra do Ouro,TO,-7.7128,-47.6747,Cidade,Sede Municipal
1703107,Barrolândia,TO,-9.8347,-48.724,Cidade,Sede Municipal
1703206,Bernardo Sayão,TO,-7.879,-48.8927,Cidade,Sede Municipal
1703305,Bom Jesus do Tocantins,TO,-8.9656,-48.1638,Cidade,Sede Municipal
1703602,Brasilândia do Tocantins,TO,-8.3895,-48.4828,Cidade,Sede Municipal
1703701,Brejinho de Nazaré,TO,-11.0134,-48.5648,Cidade,Sede Municipal
1703800,Buriti do Tocantins,TO,-5.3165,-48.2263,Cidade,Sede Municipal
1703826,Cachoeirinha,TO,-6.1149,-47.9175,Cidade,Sede Municipal
1703842,Campos Lindos,TO,-7.9683,-46.8054,Cidade,Sede Municipal
