osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/5130442926,node,5130442926,ABC Medicamentos,,,-15.8033983,-47.9587714,OpenStreetMap amenity=pharmacy,True
node/5131134223,node,5131134223,Drogfort,,,-15.7662727,-47.8779963,OpenStreetMap amenity=pharmacy,True
node/5135556246,node,5135556246,Farmácia Nordeste,,,-3.8260513,-38.5542731,OpenStreetMap amenity=pharmacy,True
node/5135659812,node,5135659812,Pharmakon,,,-15.7728498,-47.8757007,OpenStreetMap amenity=pharmacy,True
node/5136136374,node,5136136374,Drogasil,,Drogasil,-13.0073737,-38.5244908,OpenStreetMap amenity=pharmacy,True
node/5136858194,node,5136858194,Farmácia do Povo,privad,,-13.0190069,-42.6938308,OpenStreetMap amenity=pharmacy,True
node/5136858196,node,5136858196,Drogaria Botânica,,,-13.0191462,-42.69185,OpenStreetMap amenity=pharmacy,True
node/5139105176,node,5139105176,Farmácia Cosme e Damião,,,-13.0183379,-42.6946307,OpenStreetMap amenity=pharmacy,True
node/5139105179,node,5139105179,Farmácia Azevedo,,,-13.0202894,-42.6949447,OpenStreetMap amenity=pharmacy,True
node/5139105180,node,5139105180,Farmácia Senhor do Bonfim,,,-13.0202178,-42.6949527,OpenStreetMap amenity=pharmacy,True
node/5141205321,node,5141205321,Farmö,,,-12.9863701,-38.519364,OpenStreetMap amenity=pharmacy,True
node/5144122722,node,5144122722,Drogaria Popular,,,-15.7876511,-47.9404129,OpenStreetMap amenity=pharmacy,True
node/5147841538,node,5147841538,Drogaria Amazonas,,,-3.3462227,-64.707107,OpenStreetMap amenity=pharmacy,True
node/5147855621,node,5147855621,Drogaria Canhoto,,,-3.3458695,-64.7073093,OpenStreetMap amenity=pharmacy,True
node/5147855622,node,5147855622,Drogaria Modelo,,,-3.3466273,-64.7090485,OpenStreetMap amenity=pharmacy,True
node/5148099207,node,5148099207,Farmácia FTB,,,-13.0210681,-42.6945534,OpenStreetMap amenity=pharmacy,True
node/5148099214,node,5148099214,Farmácia Avenida,,,-13.0177583,-42.6875673,OpenStreetMap amenity=pharmacy,True
node/5151470517,node,5151470517,Fortefarma,,,-25.5377441,-49.2033635,OpenStreetMap amenity=pharmacy,True
node/5152551421,node,5152551421,Weleda Farmácia,,,-23.5400794,-46.6904662,OpenStreetMap amenity=pharmacy,True
node/5152602992,node,5152602992,Farmácia São Miguel,,,-26.7280265,-53.520466,OpenStreetMap amenity=pharmacy,True
node/5154074992,node,5154074992,Pague Menos,,Pague Menos,-13.0115506,-38.4907892,OpenStreetMap amenity=pharmacy,True
node/5154190325,node,5154190325,Farmácia Preço Popular,,,-26.8960921,-49.233762,OpenStreetMap amenity=pharmacy,True
node/5156214492,node,5156214492,São João,Comércio de Medicamentos Brair Ltda,São João,-29.7072857,-53.8305226,OpenStreetMap amenity=pharmacy,True
node/5157376359,node,5157376359,Pague Menos,,Pague Menos,-12.9367096,-38.3956129,OpenStreetMap amenity=pharmacy,True
node/5157871930,node,5157871930,Farmácia Flora,,,-13.0059957,-38.5242223,OpenStreetMap amenity=pharmacy,True
node/5159488602,node,5159488602,Drogasil,,Drogasil,-23.6461745,-46.6636722,OpenStreetMap amenity=pharmacy,True
node/5159841622,node,5159841622,Drogaria Bonfim,,,-19.5371836,-54.04266,OpenStreetMap amenity=pharmacy,True
node/5160981207,node,5160981207,Rapidfarma,,,-20.3339559,-40.2868411,OpenStreetMap amenity=pharmacy,True
node/5164110811,node,5164110811,Extrafarma,,Extrafarma,-2.4980384,-44.2881349,OpenStreetMap amenity=pharmacy,True
node/5165094122,node,5165094122,Farmácia do Trabalhador Regional,,,-10.9623446,-37.0826916,OpenStreetMap amenity=pharmacy,True
